Ottawa, 2024-08-17 16:46:43.833136, 16-46 
Ottawa, 2024-08-17 16:49:13.990941, 16-49 
Ottawa, 2024-08-17 17:01:01.870223, 17-01 
Ottawa, 2024-08-17 17:01:08.282240, 17-01 
Ottawa, 2024-08-17 17:01:14.298116, 17-01 
Ottawa, 2024-08-17 17:21:59.134219, 17-21 
Ottawa, 2024-08-17 17:22:47.108675, 17-22 
Ottawa, 2024-08-17 17:23:54.393817, 17-23 
Ottawa, 2024-08-17 17:29:53.516271, 17-29 
Toronto, 2024-08-17 17:31:30.820265, 17-31 
Reno, 2024-08-17 17:32:00.971855, 17-32 
Paris, 2024-08-17 17:32:43.050975, 17-32 
Winnipeg, 2024-08-17 17:33:03.317081, 17-33 
London, 2024-08-17 17:36:29.717641, 17-36 
Ottawa, 2024-08-17 22:56:56.893245, 22-56 
Regina, 2024-08-17 22:57:47.546707, 22-57 
Calgary, 2024-08-17 22:58:46.305051, 22-58 
Metcalfe, 2024-08-17 23:00:06.081320, 23-00 
Las Vegas, 2024-08-17 23:06:22.614958, 23-06 
Iqaluit, 2024-08-17 23:07:13.863344, 23-07 
Montreal, 2024-08-17 23:07:34.449123, 23-07 
Montreal, 2024-08-18 00:19:07.560919, 00-19 
Ottawa, 2024-08-18 00:19:25.203520, 00-19 
Montreal, 2024-08-18 15:30:24.362480, 15-30 
Las Vegas, 2024-08-18 15:30:31.978774, 15-30 
Paris, 2024-08-18 15:30:43.904115, 15-30 
Ottawa, 2024-08-18 15:35:03.107372, 15-35 
Ottawa, 2024-08-18 15:38:05.409710, 15-38 
Montreal, 2024-08-18 15:38:16.654038, 15-38 
Ottawa, 2024-08-18 15:41:02.373097, 15-41 
Ottawa, 2024-08-18 15:41:46.362688, 15-41 
Houston, 2024-08-18 15:42:53.201084, 15-42 
New York, 2024-08-18 15:56:59.365125, 15-56 
Paris, 2024-08-18 15:57:40.797118, 15-57 
Paris, 2024-08-18 15:58:26.636927, 15-58 
Paris, 2024-08-18 15:58:27.228724, 15-58 
Paris, 2024-08-18 15:58:27.491459, 15-58 
Paris, 2024-08-18 15:58:27.708638, 15-58 
Paris, 2024-08-18 15:58:28.071595, 15-58 
Paris, 2024-08-18 15:58:28.626555, 15-58 
Paris, 2024-08-18 15:58:28.825025, 15-58 
Paris, 2024-08-18 15:58:29.022036, 15-58 
Ottawa, 2024-08-18 15:58:35.884519, 15-58 
Ottawa, 2024-08-18 15:59:11.058137, 15-59 
Ottawa, 2024-08-18 15:59:12.008789, 15-59 
Ottawa, 2024-08-18 15:59:14.048430, 15-59 
Ottawa, 2024-08-18 15:59:14.293256, 15-59 
Ottawa, 2024-08-18 15:59:14.456992, 15-59 
Reno, 2024-08-18 17:42:00.406228, 17:42 
Reno, 2024-08-18 17:53:53.383362, 17:53 
Ottawa, 2024-08-18 18:40:39.055152, 18:40 
